name,color,star,class,speed,power,attack,defense,health,skill,effects,passives,types,source,family_bonus,family,image,costume_id,dot_string,total_dot_damage,n_turns,dot_damage_per_turn,max_special_percent,min_special_percent,max_special_stat_percent,min_special_stat_percent,Title,Costume,Museum,Element,Rarity,Origin,Family,Release date,Class,Mana Speed,Special Skill,Passive #1,Passive #2,Passive #3,Passive #CB1,Passive #CB2,AetherPower,Max level: Attack,Max level: Defense,Max level: Health,Max level: Power,Limit Break #1: Attack,Limit Break #1: Defense,Limit Break #1: Health,Limit Break #1: Power,Limit Break #2: Attack,Limit Break #2: Defense,Limit Break #2: Health,Limit Break #2: Power,Mana Bonus CB1,Max level CB1: Attack,Max level CB1: Defense,Max level CB1: Health,Max level CB1: Power,Limit Break CB1 #1: Attack,Limit Break CB1 #1: Defense,Limit Break CB1 #1: Health,Limit Break CB1 #1: Power,Limit Break CB1 #2: Attack,Limit Break CB1 #2: Defense,Limit Break CB1 #2: Health,Limit Break CB1 #2: Power,Mana Bonus CB2,Max level CB2: Attack,Max level CB2: Defense,Max level CB2: Health,Max level CB2: Power,Limit Break CB2 #1: Attack,Limit Break CB2 #1: Defense,Limit Break CB2 #1: Health,Limit Break CB2 #1: Power,Limit Break CB2 #2: Attack,Limit Break CB2 #2: Defense,Limit Break CB2 #2: Health,Limit Break CB2 #2: Power,Mana Bonus CB3,Max level CB3: Attack,Max level CB3: Defense,Max level CB3: Health,Max level CB3: Power,Limit Break CB3 #1: Attack,Limit Break CB3 #1: Defense,Limit Break CB3 #1: Health,Limit Break CB3 #1: Power,Limit Break CB3 #2: Attack,Limit Break CB3 #2: Defense,Limit Break CB3 #2: Health,Limit Break CB3 #2: Power,Mana Bonus CB4,Max level CB4: Attack,Max level CB4: Defense,Max level CB4: Health,Max level CB4: Power,Limit Break CB4 #1: Attack,Limit Break CB4 #1: Defense,Limit Break CB4 #1: Health,Limit Break CB4 #1: Power,Limit Break CB4 #2: Attack,Limit Break CB4 #2: Defense,Limit Break CB4 #2: Health,Limit Break CB4 #2: Power
Rokkamush,red,4,Barbarian,Fast,677,707,658,1147,Blind Rage,"['Deals 200% damage to all enemies. Each hit has 50% accuracy.', 'All hit enemies receive 192 Bleed damage over 4 turns.']",['Decrease Ailment Duration: Duration of the first 3 status ailments this character receives from Special Skill is decreased by 1 turn.'],"['Hit All', 'DoT All']",Season4,"['Bonus for 1/2/3/4/5 Unique Heroes:', '20%/24%/28%/32%/36% chance to spawn an Underwild Gem on the board when this Hero casts their Special Skill.', 'The Underwild Gems deal 50/35/25 (5*/4*/3*) damage to a random enemy each turn until it is matched.', 'Underwild Gems can only spawn on regular shields that match the element of this Hero.']",Underwild,https://i.imgur.com/dOWSQgd.jpg,0,192 Bleed damage over 4 turns.,192,4,48.0,200,50,0,0,Ettin Smasher,0.0,1058.0,Fire,4,Season IV,Underwild Family,2021-03-25T07:00:00,Barbarian,Fast,Blind Rage,Decrease Ailment Duration,,,,,Rage,707,658,1147,677,768.0,715.0,1246.0,728.0,891.0,829.0,1445.0,831.0,1%,721.0,671.0,1192.0,692.0,783.0,729.0,1295.0,744.0,908.0,845.0,1502.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokkamush C,red,4,Fighter,Fast,692,725,678,1168,Mason’s Rage,"['Deals 175% damage to all enemies. Each hit has 80% accuracy.', 'All hit enemies receive 200 bleed damage over 4 turns.']",['Decrease Ailment Duration: Duration of the first 3 status ailments this character receives from Special Skill is decreased by 1 turn.'],"['Hit All', 'DoT All']",Season4,"['Bonus for 1/2/3/4/5 Unique Heroes:', '20%/24%/28%/32%/36% chance to spawn an Underwild Gem on the board when this Hero casts their Special Skill.', 'The Underwild Gems deal 50/35/25 (5*/4*/3*) damage to a random enemy each turn until it is matched.', 'Underwild Gems can only spawn on regular shields that match the element of this Hero.']",Underwild,https://i.imgur.com/AXlFl5t.jpg,1,200 bleed damage over 4 turns.,200,4,50.0,175,80,0,0,Ettin Mason,1.0,1059.0,Fire,4,Season IV,Underwild Family,2024-04-25T07:00:00,Fighter,Fast,Mason's Rage,Decrease Ailment Duration,,,,,Attack Up,711,665,1124,677,773.0,722.0,1221.0,728.0,896.0,837.0,1416.0,831.0,1%,725.0,678.0,1168.0,692.0,788.0,736.0,1269.0,744.0,913.0,853.0,1472.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gormek,red,4,Barbarian,Average,642,569,565,1430,Ramming Pulverizer,"['Deals 295% damage to the target and minor damage on nearby enemies', 'The target an nearby enemies get -34% defense for 6 turns.']",0,"['Hit 3', 'Defense Debuff']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/A5zsfun.jpg,0,,0,0,0.0,295,295,-34,-34,The Hungry,0.0,1045.0,Fire,4,Classic,Classic Family,,Barbarian,Average,Ramming Pulverizer,,,,,,Rage,569,565,1430,642,618.0,614.0,1553.0,690.0,717.0,712.0,1801.0,787.0,5%,608.0,604.0,1587.0,689.0,661.0,656.0,1723.0,741.0,767.0,761.0,1999.0,846.0,5%,654.0,649.0,1716.0,735.0,710.0,706.0,1863.0,792.0,824.0,818.0,2161.0,904.0,5%,665.0,661.0,1744.0,746.0,723.0,718.0,1894.0,804.0,838.0,833.0,2197.0,919.0,,,,,,,,,,,,,
Gormek C,red,4,Wizard,Average,680,611,606,1511,Pulverizing Abacus,"['Destroys all Minions from all enemies', 'Deals 180% damage to all enemies', 'All allies recover 80 HP for each destroyed Minion']",0,"['Minion Destroyer', 'Hit all']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/OxaIMH8.jpg,1,,0,0,0.0,180,180,0,0,The Coveteus,1.0,1046.0,Fire,4,Classic,Classic Family,2021-01-18T07:00:00,Wizard,Average,Pulverizing Abacus,,,,,,Special Boost,582,578,1374,642,632.0,628.0,1493.0,691.0,733.0,728.0,1732.0,787.0,5%,622.0,618.0,1525.0,689.0,676.0,671.0,1657.0,741.0,784.0,778.0,1922.0,846.0,5%,669.0,664.0,1648.0,735.0,726.0,722.0,1791.0,792.0,842.0,837.0,2078.0,904.0,5%,680.0,676.0,1676.0,746.0,739.0,734.0,1821.0,804.0,857.0,851.0,2113.0,919.0,,,,,,,,,,,,,
Gormek C2,red,4,Cleric,Average,735,732,630,1555,Pulverizing Ham,"['Dispels buffs from all enemies', 'Deals 225% damage to all enemies']",0,"['Dispeller', 'Hit all']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/6XbZQ2N.jpg,2,,0,0,0.0,225,225,0,0,The Epicurean,2.0,1047.0,Fire,4,Classic,Classic Family,2023-04-17T07:00:00,Cleric,Average,Pulverizing Ham,,,,,,Counterattack,637,548,1296,642,692.0,595.0,1408.0,690.0,803.0,690.0,1632.0,787.0,5%,681.0,586.0,1438.0,688.0,740.0,636.0,1562.0,740.0,859.0,738.0,1811.0,845.0,5%,732.0,630.0,1555.0,735.0,795.0,684.0,1689.0,791.0,923.0,793.0,1958.0,904.0,5%,745.0,641.0,1581.0,746.0,809.0,696.0,1717.0,803.0,939.0,807.0,1991.0,918.0,,,,,,,,,,,,,
Gormek C3,red,4,Barbarian,Average,747,641,742,1648,Toon Pulverizer,"['Deals 325% damage to the target and minor damage to nearby enemies.', 'The target and nearby enemies get -24% defense for 6 turns.', 'Deals extra damage against Nature.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']","['Hit 3', 'Defense Debuff']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/WFeaXms.jpg,3,,0,0,0.0,325,325,-24,-24,The Hungry Toon,3.0,1048.0,Fire,4,Classic,Classic Family,2024-05-06T07:00:00,Barbarian,Average,Toon Pulverizer,Toon,,,,,Rage,548,635,1351,643,595.0,690.0,1468.0,691.0,690.0,800.0,1702.0,788.0,5%,586.0,679.0,1499.0,690.0,636.0,738.0,1629.0,742.0,738.0,856.0,1889.0,847.0,5%,630.0,730.0,1621.0,736.0,684.0,793.0,1761.0,792.0,793.0,920.0,2042.0,906.0,5%,641.0,742.0,1648.0,747.0,696.0,807.0,1790.0,805.0,807.0,936.0,2076.0,920.0,,,,,,,,,,,,,
Maheegan,red,4,Monk,Average,684,656,673,1298,Claws of the Hunter,"['Deals 280% damage to the target and minor damage to nearby enemies.', 'Summons a Bone Trap Fiend for the target and nearby enemies. The Fiend damages the enemy with 45% attack each turn. The damage increases by 8% each turn, up to a maximum of 93%.', 'The Bone Trap Fiend absorbs healing and disappears when it has absorbed health equal to 35% of its owner’s max health.']","['When this character casts their Special Skill, they give a Hunter’s Mark on a random enemy. The target receives 150 damage over 3 turns.', 'If a target already has this effect, the duration will be refreshed and the damage will be increased by 150, up to 1500 damage in total.', 'This character has a 10% chance to drop the direct damage received from Special Skills to 1.']","['Hit 3', 'Fiend']",Covenant,"['Bonus for 2/3/4/5 Heroes:', '+5%/+10%/+15%/+20% attack.', 'Event Bonus: Heroes belonging to the Plains Hunter family receive the following perks on Monster Island: * +20% attack, +20% defense, +20% health * 50% less permanent damage taken. * Stack (Max 10): When this character casts their Special Skill, all enemies get -3% defense.']",PlainsHunter,https://i.imgur.com/c554xVo.jpg,0,,0,0,0.0,280,8,0,0,Wolf Tracker,,1026.0,Fire,4,Monster Island,Plains Hunter Family,2022-08-25T07:00:00,Monk,Average,Claws of the Hunter,Damage Over Time on Special,Special Skill Damage Reduction,,,,Fiend Resist,656,673,1298,684,713.0,731.0,1410.0,736.0,827.0,848.0,1635.0,840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raul,red,4,Fighter,Average,691,750,629,1198,Ballad of Attraction,"['Deals 120% damage to the target and nearby enemies.', 'The target and nearby enemies dance to Ballad of Attraction for 3 turns.  All existing status effects will be removed when this effect is added.', 'Ballad of Attraction', '* -20% mana generation.', '* -20% decrease for any healing received.', '* Gives immunity to new status effects. New dance status effects will replace this effect.', '* This effect cannot be dispelled. The effect is removed when the caster dies.']","['Heal when status ailment expires or is cleared: This character receives 10%  health each time a status ailment expires or is cleansed, removed or  reallocated from them. This effect can activate only once per turn.', 'Resist Attack Ailments: This character has innate resistance against status  ailments that affect attack.']","['Hit 3', 'Ballad of Attraction', 'Mana gen debuff', 'Healing debuff', 'Status Effect immunity']",Solstice,"['Heroes become stronger when teamed with other unique Heroes of the same family.', 'Bonus for 1/2/3 Heroes:', '* +5% / +10% / +15% attack.', '* +5% / +10% / +15% defense.', '* +5% / +10% / +15% HP.', 'The members of this family have additional perks in the Secrets of the Opera event.']",opera,https://i.imgur.com/QmSXHcR.jpg,0,,0,0,0.0,120,120,-20,-20,Lovesick Nobleman,,1011.0,Fire,4,Secrets of the Opera,Opera Family,2023-11-30T07:00:00,Fighter,Average,Ballad of Attraction,Heal when Status Ailment Expires Or Is Cleared,Resist Attack Ailments,,,,Attack Up,750,629,1198,691,815.0,683.0,1302.0,743.0,944.0,792.0,1509.0,848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boldtusk,red,4,Fighter,Average,644,588,711,1107,Warcry,"['Recovers 27% health for all allies.', 'All allies get +48% attack for 4 turns.']",0,"['Healer', 'Attack Buff']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/K7cfOtS.jpg,0,,0,0,0.0,27,27,48,48,The Unwavering,0.0,1040.0,Fire,4,Classic,Classic Family,,Fighter,Average,Warcry,,,,,,Defense Up,588,711,1107,644,639.0,773.0,1202.0,693.0,741.0,896.0,1394.0,790.0,5%,629.0,760.0,1228.0,689.0,683.0,827.0,1334.0,742.0,792.0,958.0,1547.0,847.0,5%,676.0,817.0,1328.0,736.0,734.0,888.0,1442.0,792.0,852.0,1030.0,1672.0,905.0,5%,687.0,831.0,1350.0,747.0,747.0,904.0,1466.0,804.0,866.0,1048.0,1700.0,919.0,5%,699.0,846.0,1372.0,758.0,760.0,919.0,1490.0,816.0,881.0,1066.0,1728.0,933.0
Boldtusk C,red,4,Monk,Average,680,621,736,1230,War Feast,"['Recovers 37% health for all allies.', 'All allies get +30% attack for 4 turns.']",0,"['Healer', 'Attack Buff']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/ZFrdT4t.jpg,1,,0,0,0.0,37,37,30,30,Cast Iron Chef,1.0,1041.0,Fire,4,Classic,Classic Family,2020-01-01T07:00:00,Monk,Average,War Feast,,,,,,Counterattack,592,701,1119,645,644.0,761.0,1216.0,693.0,746.0,883.0,1410.0,790.0,5%,633.0,750.0,1242.0,690.0,689.0,814.0,1349.0,742.0,798.0,944.0,1565.0,847.0,5%,680.0,806.0,1342.0,736.0,740.0,875.0,1459.0,793.0,857.0,1015.0,1692.0,906.0,5%,692.0,820.0,1365.0,747.0,753.0,890.0,1483.0,805.0,872.0,1033.0,1720.0,920.0,5%,704.0,834.0,1387.0,759.0,766.0,905.0,1507.0,817.0,887.0,1050.0,1748.0,934.0
Boldtusk C2,red,4,Cleric,Average,736,688,830,1272,War Song,"['All allies regenerate 288 boosted health over 4 turns. Boosted health can exceed max HP.', 'All allies get +45% attack, and a further 20% increase every time they are hit during 4 turns.']",0,"['Boosted HoT All', 'Attack Buff']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/T4p2FAB.jpg,2,,0,0,0.0,20,20,45,45,The Feral Sage,2.0,1042.0,Fire,4,Classic,Classic Family,2023-06-12T07:00:00,Cleric,Average,War Song,,,,,,Special Armor,599,722,1060,645,651.0,785.0,1152.0,693.0,754.0,910.0,1335.0,790.0,5%,640.0,772.0,1176.0,689.0,696.0,839.0,1278.0,742.0,806.0,973.0,1481.0,846.0,5%,688.0,830.0,1272.0,736.0,748.0,902.0,1382.0,792.0,867.0,1046.0,1602.0,905.0,5%,700.0,844.0,1293.0,747.0,761.0,918.0,1405.0,805.0,882.0,1064.0,1628.0,919.0,5%,712.0,859.0,1314.0,758.0,774.0,934.0,1428.0,817.0,897.0,1082.0,1655.0,933.0
Boldtusk C3,red,4,Fighter,Average,748,698,837,1323,Tooncry,"['Recovers 33% health for all allies.', 'All allies get +40% attack for 4 turns. For all Fire characters, this status effect becomes undispellable and lasts 2 turns longer.']","['Toon: 75% extra chance to resist all status ailments, mana reductions and buff dispels.']","['Healer', 'Attack Buff']",Season1,"['Classic Family Heroes need to be fully ascended to receive the Family Bonus.', 'Bonus for 2/3/4/5 Heroes:', '+1%/+3%/+5%/+7% attack.', '+1%/+3%/+5%/+7% defense.', '+1%/+3%/+5%/+7% healing.', 'On Class Level 20, all of the Class Talents of this hero are upgraded into a Superior Class Talent.']",Classic,https://i.imgur.com/ufJrKaD.jpg,3,,0,0,0.0,33,33,40,40,The Unwavering Toon,3.0,1043.0,Fire,4,Classic,Classic Family,2023-12-25T07:00:00,Fighter,Average,Tooncry,Toon,,,,,Defense Up,597,716,1085,646,648.0,778.0,1179.0,694.0,752.0,902.0,1367.0,792.0,5%,638.0,766.0,1204.0,691.0,693.0,832.0,1308.0,743.0,804.0,965.0,1517.0,848.0,5%,686.0,823.0,1302.0,737.0,745.0,894.0,1414.0,794.0,864.0,1037.0,1640.0,907.0,5%,698.0,837.0,1323.0,748.0,758.0,910.0,1438.0,806.0,879.0,1055.0,1667.0,921.0,5%,710.0,852.0,1345.0,760.0,771.0,925.0,1461.0,818.0,894.0,1073.0,1695.0,935.0
Sun Shangxiang,red,4,Fighter,Average,682,782,546,1224,Royal Blades,"['Deals 280% damage to the target and minor damage to dearby enemies.', 'The target and nearby enemies get -44% defense, and a further -4% decrease every time they are hit during 3 turns.']",0,"['Hit 3', 'Defense Debuff']",Kingdom,"['Bonus for 1/2/3 Unique Heroes:', '2% / 4% / 6% mana each time a Minion is summoned for the Hero.', '3% / 5% / 7% heal each time a Minion is summoned for the Hero.', 'Morale Boost:', 'Heroes belonging to this family as well as heroes fighting alongside with them receive additional perks in War of the Three Kingdoms:', '+10% attack, + 3% defense, +7% health']",Kingdom,https://i.imgur.com/H5PMlvf.jpg,0,,0,0,0.0,280,280,-4,-44,Noble Battler,,1022.0,Fire,4,War of the Three Kingdoms,Kingdom Family,2022-03-14T12:00:00,Fighter,Average,Royal Blades,,,,,,Attack Up,782,546,1224,682,849.0,593.0,1329.0,734.0,985.0,687.0,1541.0,837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eichbelborg,red,4,Monk,Fast,676,637,656,1317,Pompous Flex,"['Deals 340% damage to the target.', 'The enemy with the highest base defense gets -44% defense for 4 turns.']",0,"['Hit 1', 'Defense Debuff']",Starfall,"['Bonus for 1/2/3 Heroes:', ""50%/75%/100% chance to cleanse the Hero's most recent cleansable status ailment at the end of each turn.""]",Starfall,https://i.imgur.com/B0oW04d.jpg,0,,0,0,0.0,340,340,-44,-44,Boastful Bodybuilder,,1017.0,Fire,4,Challenge Festival II,Starfall Family,2021-06-10T07:00:00,Monk,Fast,Pompous Flex,,,,,,Counterattack,637,656,1317,676,692.0,713.0,1431.0,727.0,803.0,827.0,1659.0,829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shadereave,red,4,Fighter,Slow,661,595,635,1357,Eternal Servitude,"['All allies get +30% attack for 4 turns.', 'All allies get +30% critical chance for 4 turns.', 'All allies receive Draugr Blessing. If the blessed Hero dies in the next 4 turns, they will be reborn as a Draugr with:', '100% inherited health.', '500 attack.', '500 defense.', 'Special Skill: Eternal Loyalty']",0,"['Attack BuffCritical Buff', 'Zombie Buff']",Season3,"['Bonus for 1/2/3 Unique Heroes:', 'Deals 25%/50%/100% damage to all enemies when a Helheim Hero is defeated.']",Helheim,https://i.imgur.com/t4qsaZf.jpg,0,,0,0,0.0,100,100,30,30,Brutish Draugr,,1053.0,Fire,4,Season III,Helheim Realm,2020-05-28T07:00:00,Fighter,Slow,Eternal Servitude,,,,,,Mana Boost,595,635,1357,661,646.0,690.0,1475.0,710.0,749.0,800.0,1710.0,810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aodhan,red,4,Wizard,Slow,677,626,684,1298,Wily Wisps,"['Deals 210% damage to all enemies.', 'Summons a Wisp Fiend for all enemies. The Fiend damages its target with 35% attack every turn.', ""The Wisp Fiend absorbs healing. It disappears after absorbing a healing amount equal to 18% of its target's max health."", 'Stack +2 (Max: 10): The caster gets +10% mana generation.', 'Stack (Max: 10): The caster recovers 10 HP each turn.']",['Resist Damage from Status Effects: This charater has innate resistance against incoming damage from status effects.'],"['Hit All', 'Summoner', 'Stack']",Slayers,"['Bonus for 1/2/3 Heroes:', '50%/75%/100% chance to receive the following stacks at the end of each turn:', ' * Stack (Max: 10): The caster recovers 15 HP each turn.', ' * Stack (Max: 10): The caster gets +6% mana generation.', 'The members of this family have additional perks in the Challenge Festival events.']",Slayer,https://i.imgur.com/81JNp9d.jpg,0,,0,0,0.0,210,18,10,10,The Burning,,1062.0,Fire,4,Challenge Festival II,Slayer Family,2021-08-05T07:00:00,Wizard,Slayer,Wily Wisps,Resist Damage from Status Effects,,,,,Fiend Resist,626,684,1298,677,681.0,743.0,1410.0,728.0,789.0,861.0,1635.0,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova,red,4,Druid,Average,691,643,722,1281,Healing Fire Spirits,"['Recovers 25% health for all allies.', 'Recovers additional 2% health per each Fire shield on the board,  up to 45% health in total.', 'Cleanses status ailments from all allies.']","['Troop Mastery:', 'Passive Skill as attacking character:', ' This hero’s Troops deal extra elemental damage against weaker element.', ' * Dealt extra elemental damage: +100%', 'Passive Skill as defending character:', ' This hero receives less elemental damage from Troops of stronger element.', ' * Received elemental damage: -10%']","['Heal all', 'Cleanser']",SuperElemental,"['One or more shields are enhanced to Power Gems each turn.', 'The amount is the same as <<Hero element>> heroes in the team.  5 Power Gems per element can be on the board at the same time.', 'The Power Gem deals 20/15/10 (5*/4*/3*) damage to a random enemy each turn until it is matched. When Power Gems are matched, they deal 10 damage to all enemies.']",SuperElemental,https://i.imgur.com/bsearKJ.jpg,0,,0,0,0.0,45,2,0,0,Fire Spirit Collector,,1018.0,Fire,4,Contest of Elements,Super Elemental Family,2023-10-09T07:00:00,Druid,Average,Healing Fire Spirits,Troop Mastery,,,,,Defense Up,643,722,1281,691,699.0,785.0,1392.0,744.0,811.0,910.0,1614.0,849.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhou Yu,red,4,Ranger,Average,683,639,671,1336,Scion Sword,"['Deals 355% damage to the target.', 'Summons a Wu Soldier Minion for each ally with 10% HP and 18% attack inherited from the caster.', 'The target hit by Wu Soldier Minion receives 207 Burn damage over 3 turns.']",0,"['Hit 1', 'Summoner']",Kingdom,"['Bonus for 1/2/3 Unique Heroes:', '2% / 4% / 6% mana each time a Minion is summoned for the Hero.', '3% / 5% / 7% heal each time a Minion is summoned for the Hero.', 'Morale Boost:', 'Heroes belonging to this family as well as heroes fighting alongside with them receive additional perks in War of the Three Kingdoms:', '+10% attack, + 3% defense, +7% health']",Kingdom,https://i.imgur.com/KiDn1jL.jpg,0,207 Burn damage over 3 turns.,207,3,69.0,355,10,0,0,Young Commander,,1023.0,Fire,4,War of the Three Kingdoms,Kingdom Family,2022-03-14T12:00:00,Ranger,Average,Scion Sword,,,,,,Attack Up,639,671,1336,683,695.0,729.0,1452.0,735.0,805.0,845.0,1683.0,838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shale,red,4,Wizard,Charge,670,603,626,1423,Channel Ki,"['1x Mana Charge', '* The caster regenerates 411 HP over 3 turns', '* Cleanses status ailments from the caster', '2x Mana Charge', '* The caster and nearby allies regenerate 549 HP over 3 turns', '* Cleanses status ailments from the caster and nearby allies', '3x Mana Charge', '* All allies regenerate 714 HP over 3 turns', '* Cleanses status ailments from all allies']",0,"['Charger', 'Hot', 'Cleanser']",Ninja,"['Bonus for 1/2/3 Unique Heroes:', '5%/10%/15% chance to dodge normal attacks and Special Skills', '5%/10%/15% chance to counterattack with 60%/90%/120% of the damage received.']",Ninja,https://i.imgur.com/MtPyEOT.jpg,0,,0,0,0.0,0,0,0,0,Ninja of Flying Vigor,,1027.0,Fire,4,Ninja Tower,Ninja Family,2020-10-13T07:00:00,Wizard,Charge,Channel Ki,,,,,,Damage Reduction,603,626,1423,670,655.0,681.0,1547.0,721.0,760.0,789.0,1793.0,822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itham,red,4,Paladin,Average,686,671,703,1211,Cannonball Splash,"['Deals 270% damage to the target and nearby enemies.', 'The target and nearby enemies are immune to new status effect buffs for 3 turns, and receive 70 damage for each attempted buff.', 'The caster and nearby allies resist new effects that block usage of Special Skills for 3 turns.']","['Resist Water Damage: This character has innate resistance against Water  Damage.', 'Damage over time on Special: When this character casts their Special Skill, all enemies receive 160 Water damage over 2 turns.']","['Hit 3', 'Buff Immunity']",beachparty,"['Bonus for 1/2/3 Heroes:', '-20%/-40%/-60% damage received from damage over time status effects.', 'The members of this family have additional perks in the Beach Party event.']",BeachParty,https://i.imgur.com/7w0kLrp.jpg,0,,0,0,0.0,270,270,0,0,Elf Swimming School Instructor,,1013.0,Fire,4,Beach Party,Beach Party Family,2023-06-12T07:00:00,Paladin,Average,Cannonball Splash,Resist Water Damage,Status Effect on Special,,,,Attack Up,671,703,1211,686,729.0,764.0,1316.0,738.0,845.0,886.0,1525.0,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack,red,4,Fighter,Average,677,646,686,1247,Halfling's Wit,"['The caster and nearby allies counterattack with 125% of the damage received for 4 turns.', 'The caster and nearby allies get +25% attack for 4 turns.']",['Increase Buff Duration: Duration of the first 3 buff this hero receives from Special Skills is increased by 1 turn.'],"['Counterattack', 'Attack Buff']",Season4,"['Bonus for 1/2/3/4/5 Unique Heroes:', '20%/24%/28%/32%/36% chance to spawn an Underwild Gem on the board when this Hero casts their Special Skill.', 'The Underwild Gems deal 50/35/25 (5*/4*/3*) damage to a random enemy each turn until it is matched.', 'Underwild Gems can only spawn on regular shields that match the element of this Hero.']",Underwild,https://i.imgur.com/nafpwvj.jpg,0,,0,0,0.0,125,125,25,25,Halfling Adventurer,0.0,1056.0,Fire,4,Season IV,Underwild Family,2021-03-25T07:00:00,Fighter,Average,Halfling's Wit,Increase Buff Duration,,,,,Regen,646,686,1247,677,701.0,745.0,1355.0,728.0,813.0,864.0,1571.0,831.0,1%,658.0,699.0,1296.0,692.0,715.0,759.0,1409.0,745.0,829.0,881.0,1633.0,850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
